#,name,description,origin,model,tags,explainer post,notes
1,door-moisture-model,when does my door get stuck,ChatGPT,o3,"physics, everyday",,
2,grounded-theory-approach,Analysis of all my LI posts,Claude,Opus4,"qualitative_research, social_science, AI_adoption",,
3,decision-tree,Selecting a SAAS project product decision tree,Cant remember,Cant remember,"decision, procurement",,
4,grounded-theory-colimit,Interactive visualisation of grounded theory through a category theory lens,ChatGPT,Cant remember,"category_theory, methods, social_science, knowledge_management",,
5,hs2-decision-graph,HS2 Supply Chain Risk and Value Decision Making Knowledge Graph,Claude,Sonnet3.7,"knowledge_graph, ontology, risk, value, rail, decision, hs2",,
6,hs2_WBS_to_PBS,dashboard showing both a Product (output) view and a work view for HS2,,,"WBS, PBS, moving_between_perspectives, output, scope, hs2",,
7,pm_gap_map,Gap between what we need in Project mgt practice and what we have,ChatGPT,o3,"capabilities, solution, resources, idea_maze, product_management",,
8,Project_Decision_Framing_Tool,Helps you apply Powell's sequential decision making framework to a real problem,Cant remember,Cant remember,"decision, sequential_decisions",,
9,3D_Construction_Workflow,starts to visualise how dependencies between tasks can depend on other network effects,Cant remember,Cant remember,"visualisation, learning, imagination, dependencies, tasks, complexity",,
10,what_AI_model_for_what,"based on what inputs, what outputs and what features you want, helps you choose an LLM",Claude,Sonnet3.7,"jsx, decision, use_cases, AI_adoption",,
11,Project_Controls_2010-2025_Transformation,A Wardley map showing what has changed in the Controls value chain ,Claude,Sonnet3.7,"svg, project_controls, Wardley_map, business_model",,
12,project-controls-knowledge-graph,visual learning tool for professionals transitioning from project management to project controls. Includes paths through KG,Claude,Sonnet3.7,"tsx, knowledge_graph, learning, project_controls, graph_pathways, moving_between_perspectives",,
13,interactive-nec-contract-journey,Each card represents a key section of the NEC contract related to an example project (HVAC installation) scope.,Claude,Cant remember,"tsx, learning, contract_management, procurement",,
14,p3m-capability-tool,how I review the portfolio capabilities for a new portfolio office,Claude,Opus4,"tsx, portfolio_management, capabilities, TOM",,
15,project-management-pong,"Pong re-imagined for project interactions with the programme manager, and how progress is handled within companies",Claude,Cant remember,"gamification, learning, scope, culture",,
16,concurrent_change_levels_amazon,How many levels of change running at the same time so you think organisations can cope with,ChatGPT,o3,"change_management, Viable_systems_model, Ashbys_law, TOM, PMO",,
17,simplicial_project_mgmt,using 2 simplexes to model higher order interactions in project relationships,ChatGPT,o3,"higher_order_networks, graphs, teamwork, culture, interactions, knowledge_graph, stakeholder_management",,
18,project_use_case_tree,a progressive search tree of use cases that can be implemented for the project profession. use cases that are only feasible in the last three years.,ChatGPT,o3,"use_cases, project_management, AI_adoption, classification_tree, knowledge_graph",,
19,hs2-contract-game,"an interactive game that teaches them the rudiments of co-operative game theory relevant to multi-turn interactions between supplier and client in individual packages of work,",Claude,Sonnet3.7,"gamification, negotiation, contract_management, hs2, tsx",,
20,interactive-concept-map,Use dave Snowden's idea of triads of concepts to destabilise unhelpful polarities in team thought,Claude,Sonnet3.5,"abstraction, polarities, behaviour, culture",,
21,AI_timeline_from_Gemini_25,"An AI timeline of competition in the project services market, assuming AGI in 2026 and ASI in 2030",Gemini,Pro2.5,"business_model, AI_adoption, AGI, behaviour, social_science",,
22,consulting_catalogue,what project consulting offerings may look like with the current AI capabilities,ChatGPT,o3 Pro,"business_model, AI_adoption, consulting, use_cases",,
23,HS2-elite,space exploration game based on HS2 stations,Claude,Opus4,"gamification, rail",,
24,project-services-navigator,"An AI timeline of competition in the project services market, assuming AGI in 2026 and ASI in 2030",Claude,Opus4,"business_model, AI_adoption, AGI, behaviour, social_science",,
25,intro_risk_matrix,"This interactive tool demonstrates how to create and read a standard 5x5 risk matrix, commonly used in project management to map the likelihood of a risk event to its potential impact.",ChatGPT,o1,"risk, learning",,
26,gap_map_gemini,Gap between what we need in Project mgt practice and what we have,Gemini,Cant remember,"capabilities, solution, resources, idea_maze, product_management",,
27,decision-latency,Shows how tracking decision latency helps the schedule,ChatGPT,agent,"decision, schedule, risk, approvals",,
28,stakeholder-mapper,,ChatGPT,agent,stakeholder,,
29,eisenhower-matrix,,ChatGPT,agent,prioritisation,,
30,weighted-decision-matrix,,ChatGPT,agent,decision,,
31,hazard_morphospace,a dashboard for the Magnox Swarf Storage Silo,ChatGPT,agent,"reporting, controls, trade_offs",,
32,service_trident,"Distinguishing between capability, maturity and performance in project consulting",ChatGPT,GPT5,"consulting, use_cases, project_management, classification_tree ",,
34,Project_Data_standard_example,Project Data Standard explainer and validation playground,ChatGPT,GPT5,"data_quality, project_data, visualization",,
35,date-defence-kit,"Plan and defend delivery dates with Monte Carlo simulations, criticality insights, and narrative outputs.",User,GPT5,"risk, schedule, monte_carlo, simulation",,
33,WBS_rewrite,Interactive demo for rewriting WBS dependency graphs with CPM and resource leveling,ChatGPT,agent,"project_management, scheduling, graph",,
36,SMR_governance_simulator,"a playable governance simulatora sandbox where players navigate ONR design?assessment loops, financing triggers (RAB/GBE?N), and local engagement to reach Final Investment Decision and first power.",ChatGPT,GPT5.1_Pro,"governance, design, simulator, gates",,
37,pm_causal_playground,"PM causal DAG playground for back-door paths, colliders, and adjustment sets",ChatGPT,GPT5,"causal, visualization, project_management, education",,
38,white_space_analysis,Capability scorecard and whitespace map for digital transformation delivery,ChatGPT,GPT-5.2-Codex,"capabilities, whitespace, visualization, d3, strategy",,

39,advanced_project_planning_ideas,"Interactive sandbox exploring counterfactual planning, proof-carrying plans, coordination mechanisms, topology, and meta-planners.",ChatGPT,GPT-5.2-Codex,"project_management, planning, governance, education",,
40,project_viability_state_space_navigator_plus,"State-space navigator for project viability, safe-to-fail probes, and walk-based diagnostics.",ChatGPT,GPT-5.2-Codex,"viability, systems, simulation, visualization",,
41,scenario_barrier_proof_fca_lattice,"Scenario × barrier × proof FCA lattice for causal coverage and gap analysis.",ChatGPT,GPT-5.2-Codex,"risk, fca, lattice, visualization, safety",,
42,critical-path-spotter,"Critical path spotter for project schedules with dependency delays.",ChatGPT,GPT-5.2-Codex,"project_management, scheduling, critical_path, visualization",,
43,project_time_exchange,"Project Time Exchange app for CPM crash menus, budget frontiers, and VCG-style optimization.",ChatGPT,GPT-5.2-Codex,"project_management, scheduling, optimization, visualization",,
44,counterfactual_programme_steering,"Interactive counterfactual program steering dashboard with SCM-based policy simulation and influence diagram explainers.",ChatGPT,GPT-5.2-Codex,"causal, simulation, decision_support, visualization",,
45,intent_field_navigator,"CSV-first intent field navigator for alignment, coverage, entropy, and nudges.",ChatGPT,GPT-5.2-Codex,"intent, alignment, csv, analytics, visualization",,
